id,name,category,brand,type,cpu,gpu,ram,ssd,screen,batteryWh,batteryRuntime,demand,stock,rating,reviews,promo_vi,promo_en,price,oldPrice,condition_vi,condition_en,badge_vi,badge_en,specs_vi,specs_en,variants_json,color,image,sourceUrl
25,"ThinkPad T14 Gen 3 – i7-1260P, RAM 16GB, Màn Hình Cảm Ứng, Giá Chỉ 12.8 Triệu",laptop-cu,Lenovo,catalog,i7-1260P,Intel Iris Xe Graphics,16GB,256GB,"14""",52,4-7 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,12.800.000,13800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-1260P | 16GB RAM | 256GB SSD | 14"" Touch","i7-1260P | 16GB RAM | 256GB SSD | 14"" Touch",,#f15a24,/product-images/079-thinkpad-t14-gen-3-nextgold-1-a965da996b4f.png,https://nextgold.vn/thinkpad-t14-gen-3/
26,"Dell Precision 5540 – i9-9980HK, RAM 32GB, 4K Touch, Giá Chỉ 13.8 Triệu",laptop-cu,Dell,catalog,i9-9980HK,NVIDIA Quadro T2000 4GB,32GB,512GB,"15.6""",97,2-4 giờ,render,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,13.800.000,14800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i9-9980HK | 32GB RAM | 256GB SSD | 15.6"" Touch 4K","i9-9980HK | 32GB RAM | 256GB SSD | 15.6"" Touch 4K",,#255f85,/product-images/074-dell-precision-5540-i9-9980hk-1-0af730c51335.png,https://nextgold.vn/dell-precision-5540/
27,"Dell Precision 5520 – Xeon E3, RAM 16GB, Quadro M1200, Giá Chỉ 8.9 Triệu",laptop-cu,Dell,catalog,Xeon E3,Quadro M1200,16GB,256GB,"15.6""",97,2-4 giờ,render,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,8.900.000,9900000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"Xeon E3 | 16GB RAM | 256GB SSD | 15.6"" | Quadro M1200","Xeon E3 | 16GB RAM | 256GB SSD | 15.6"" | Quadro M1200",,#255f85,/product-images/072-dell-precision-5520-xeon-e3-1-254586ed9c81.png,https://nextgold.vn/dell-precision-5520/
28,"ThinkPad E15 Gen 2 – i5-1135G7, RAM 16GB, Giá Chỉ 8.8 Triệu",laptop-cu,Lenovo,catalog,i5-1135G7,Intel Iris Xe Graphics,16GB,256GB,"15""",45,3-5 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,8.800.000,9800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i5-1135G7 | 16GB RAM | 256GB SSD | 15""","i5-1135G7 | 16GB RAM | 256GB SSD | 15""",,#f15a24,/product-images/078-thinkpad-e15-gen-2-nextgold-2-85ddeec49e6e.png,https://nextgold.vn/thinkpad-e15-gen-2/
29,"ThinkPad T490 – i7-10510U, RAM 16GB, Màn Hình Cảm Ứng, Giá Chỉ 8.5 Triệu",laptop-cu,Lenovo,catalog,i7-10510U,Intel UHD Graphics 620,16GB,256GB,"14""",50,4-7 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,8.500.000,9500000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-10510U | 16GB RAM | 256GB SSD | 14"" Touch","i7-10510U | 16GB RAM | 256GB SSD | 14"" Touch",,#f15a24,/product-images/082-thinkpad-t490-i7-10510u-1-7ee516d33ffe.png,https://nextgold.vn/thinkpad-t490/
30,"ThinkPad T14s – i7-10610U, RAM 32GB, Màn Cảm Ứng, Giá Chỉ 10.5 Triệu",laptop-cu,Lenovo,catalog,i7-10610U,Intel UHD Graphics 620,32GB,256GB,"14""",57,4-7 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,10.500.000,11800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-10610U | 32GB RAM | 256GB SSD | 14"" Touch","i7-10610U | 32GB RAM | 256GB SSD | 14"" Touch",,#f15a24,/product-images/080-thinkpad-t14s-i7-10610u-1-c20f1ea582ea.png,https://nextgold.vn/thinkpad-t14s/
31,"ThinkPad T15 – i5-10310U, RAM 16GB, Màn Cảm Ứng, Giá Chỉ 8.8 Triệu",laptop-cu,Lenovo,catalog,i5-10310U,Intel UHD Graphics 620,16GB,256GB,"15.6""",57,4-7 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,8.800.000,9800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i5-10310U | 16GB RAM | 256GB SSD | 15.6"" Touch","i5-10310U | 16GB RAM | 256GB SSD | 15.6"" Touch",,#f15a24,/product-images/081-thinkpad-t15-i5-10310u-1-307a89e79301.png,https://nextgold.vn/thinkpad-t15/
32,Dell Precision 7550 – Máy Trạm Di Động Cho Kỹ Sư & Thiết Kế Đồ Họa,laptop-cu,Dell,catalog,i7-10850H,NVIDIA RTX 3000 6GB,8GB,256GB,"15.6""",95,2-4 giờ,render,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,16.500.000,17500000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-10850H | 8GB RAM | 256GB SSD | 15.6""","i7-10850H | 8GB RAM | 256GB SSD | 15.6""","[{""label"":""Xeon / RTX 4000"",""cpu"":""Xeon W-10885M"",""gpu"":""NVIDIA RTX 4000 8GB"",""ram"":""16GB"",""ssd"":""512GB"",""price"":18800000},{""label"":""i7 / Quadro T2000"",""cpu"":""i7-10750H"",""gpu"":""NVIDIA Quadro T2000 4GB"",""ram"":""32GB"",""ssd"":""512GB"",""price"":16500000},{""label"":""i9 / Quadro T2000"",""cpu"":""i9-10885H"",""gpu"":""NVIDIA Quadro T2000 4GB"",""ram"":""16GB"",""ssd"":""512GB"",""price"":16500000},{""label"":""i7 / RTX 3000"",""cpu"":""i7-10850H"",""gpu"":""NVIDIA RTX 3000 6GB"",""ram"":""32GB"",""ssd"":""512GB"",""price"":17500000}]",#255f85,/product-images/058-dell-precision-7550-i7-quadro-t2000-1-f4b3e815bf80.png,https://nextgold.vn/dell-precision-7550/
33,"Dell Latitude 5421 – i7-11850H, RAM 16GB, SSD 512GB, Giá Chỉ 11.5 Triệu",laptop-cu,Dell,catalog,i7-11850H,Intel Integrated Graphics,16GB,512GB,"14""",64,4-6 giờ,office,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,11.500.000,12500000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-11850H | 16GB RAM | 512GB SSD | 14""","i7-11850H | 16GB RAM | 512GB SSD | 14""",,#255f85,/product-images/055-dell-latitude-5421-i7-11850h-1-18fb8a9be7bd.png,https://nextgold.vn/dell-latitude-5421/
34,"ThinkPad X1 Nano Gen 1 – i7-1160G7, RAM 16GB, Màn 2K, Giá Chỉ 14.8 Triệu",laptop-cu,Lenovo,catalog,i7-1160G7,Intel Iris Xe Graphics,16GB,256GB,"13""",48,3-5 giờ,student,3,"4,7",12,Hàng tuyển chọn tại Laptop OSCAR,Laptop OSCAR selected device,14.800.000,16800000,Máy cũ,Máy cũ,Liên hệ xác nhận hàng,Contact to confirm,"i7-1160G7 | 16GB RAM | 256GB SSD | 13"" 2K","i7-1160G7 | 16GB RAM | 256GB SSD | 13"" 2K",,#f15a24,/product-images/063-thinkpad-x1-nano-i7-1160g7-2-02defc6464b5.png,https://nextgold.vn/thinkpad-x1-nano-gen-1/
